구분,버스명,AP별 이용량(GB)
마을버스,상도3동_동작02_서울75사8745,291.84066784 
마을버스,안암교통_성북04_서울75사3296,291.58715811 
마을버스,남산운수_용산03_서울75사5717,291.53308086 
마을버스,은천운수_관악01_서울75사8904,291.34942591 
마을버스,강동교통_강동05_서울75사9722,290.80715962 
마을버스,진양교통_도봉09_서울70사6635,290.25756847 
마을버스,신수동마을_마포12_서울75사5278,290.23925774 
마을버스,양정운수_영등포09_서울70사8519,289.77111820 
마을버스,마포운수_마포15_서울75사5241,288.45324740 
마을버스,서북운수_서대문05_서울70사7211,288.43298368 
마을버스,청록운수_도봉02_서울75사3147,288.22576907 
마을버스,범일운수_금천01_서울71사1596,288.09057642 
마을버스,금천운수_금천08_서울70사9429,287.88623028 
마을버스,부민운수_강서02_서울70사8108,287.67541517 
마을버스,은천운수_관악01_서울70사9074,287.64312714 
마을버스,미봉운수_강북06_서울75사3118,287.12307755 
마을버스,부생운수_서초15_서울70사9146,286.81832924 
마을버스,세광운수_관악07_서울70사9078,286.59500089 
마을버스,화계운수_강북02_서울75사3428,286.46264691 
마을버스,강동교통_강동05_서울75사9737,286.42172273 
마을버스,길음운수_성북09_서울70사6436,286.21105943 
마을버스,마포운수_마포15_서울70사7734,285.57543922 
마을버스,우리교통_양천04_서울70사7916,285.17926019 
마을버스,염동운수_강서04_서울71사2291,285.07745359 
마을버스,신수동마을_마포11_서울75사5218,285.05615238 
마을버스,오렌지교통_노원02_서울70사6841,284.88705400 
마을버스,청록운수_도봉01_서울75사3240,284.85153243 
마을버스,강동교통_강동05_서울75사9746,284.68905669 
마을버스,부생운수_서초15_서울70사9138,284.29702763 
마을버스,계현운수_서초22_서울75사3250,284.26995873 
마을버스,우리교통_양천04_서울75사8312,284.23413076 
마을버스,부생운수_서초15_서울70사9137,283.78106654 
마을버스,정암운수_마포09_서울75사7761,283.26782212 
마을버스,왕금운수_성동01_서울75사3302,283.21359213 
마을버스,합정운수_마포16_서울75사7702,282.99465962 
마을버스,번창운수_노원14_서울70사6820,282.97048993 
마을버스,금천운수_금천08_서울70사9431,282.63238538 
마을버스,번창운수_노원15_서울75사3565,282.28909336 
마을버스,금창운수_노원03_서울75사6813,282.09744301 
마을버스,미향운수_서대문14_서울70사7302,281.47952259 
마을버스,범일운수_금천01_서울71사1422,280.90295382 
마을버스,청록운수_도봉02_서울75사3343,280.47354147 
마을버스,청진운수_서초13_서울75사3584,279.72174063 
마을버스,한마음교통_노원09_서울75사3429,279.49478105 
마을버스,범일운수_금천01_서울71사1597,279.35333271 
마을버스,대운교통_강서05_서울70사8113,279.32623308 
마을버스,인왕교통_종로09_서울75사3169,278.96209713 
마을버스,성암운수_마포08_서울70사7721,278.73233054 
마을버스,진양교통_도봉09_서울70사6634,278.24981697 
마을버스,신명운수_강동01_서울75사9704,277.89736912 
마을버스,정암운수_마포10_서울75사7743,277.86309831 
마을버스,일원교통_강남01_서울75사3380,277.75576804 
마을버스,강동교통_강동02_서울75사3039,277.72070281 
마을버스,왕금운수_성동01_서울75사3621,277.50173956 
마을버스,서일교통_서초03_서울70사9246,276.89779643 
마을버스,진양교통_도봉09_서울75사3426,276.68731660 
마을버스,쌍문운수_도봉05_서울75사3166,276.55621339 
마을버스,서북운수_서대문05_서울75사5084,275.80044512 
마을버스,쌍문운수_도봉05_서울75사3382,275.00884980 
마을버스,포이운수_강남02_서울75사3285,274.78591911 
마을버스,서초그린교통_서초02_서울75사3146,274.66104086 
마을버스,형일교통_영등포01_서울75사5306,272.53839094 
마을버스,염동운수_강서06_서울71사2277,272.09292632 
마을버스,왕금운수_성동01_서울75사3587,272.01095596 
마을버스,신명운수_강동01_서울75사9707,271.89181559 
마을버스,염동운수_강서04_서울70사8120,271.84433024 
마을버스,석계운수_성북14_서울75사3376,271.54730260 
마을버스,상도3동_동작11_서울75사5091,271.37976047 
마을버스,상도3동_동작11_서울75사8743,271.13851905 
마을버스,대운교통_강서05-1_서울70사6833,271.07299771 
마을버스,쌍문운수_도봉05_서울70사6637,270.93978878 
마을버스,구의교통_광진04_서울71사1003,270.68240382 
마을버스,한마음교통_노원09_서울70사6830,270.67889366 
