구분,버스명,AP별 이용량(단위 : GB)
시내버스,중부운수_640_서울75사1355,648.85577187 
시내버스,신수교통_761_서울74사5337,648.58300611 
시내버스,진아교통_1132_서울74사2356,648.47814851 
시내버스,진화운수_461_서울74사3082,648.21654931 
시내버스,삼양교통_130_서울74사3243,648.19806255 
시내버스,김포교통_651_서울74사1449,648.18353392 
시내버스,한국비알티_140_서울74사4050,648.18304032 
시내버스,삼양교통_130_서울74사3280,647.95178361 
시내버스,동해운수_7728_서울75사1661,647.90893346 
시내버스,동해운수_700_서울74사7194,647.86059782 
시내버스,메트로버스_273_서울70사9709,647.12969586 
시내버스,경성여객_271_서울74사1259,646.91302367 
시내버스,관악교통_643_서울70사8925,646.88873477 
시내버스,동아운수_151_서울75사1588,646.73223533 
시내버스,동아운수_152_서울74사2109,646.57867886 
시내버스,관악교통_6515_서울74사4659,646.38531767 
시내버스,세풍운수_6716_서울70사8318,646.16375603 
시내버스,동아운수_152_서울74사4068,646.07916400 
시내버스,신길운수_606_서울75사1959,645.99517733 
시내버스,선진운수_7720_서울74사4571,645.94958909 
시내버스,한국비알티_741_서울74사7930,645.82586288 
시내버스,한성여객운수_172_서울74사8739,645.81982791 
시내버스,영신여객_1167_서울71사1265,645.64178698 
시내버스,신촌교통_740_서울74사5869,645.61444335 
시내버스,서울교통네트웍_160_서울70사6763,645.49921080 
시내버스,다모아자동차_470_서울75사1112,645.37268132 
